Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","TantalC_SizeC_Reflow",124.6606,-95.0964,180.0000,top
"C2","100nF","SMD-0805",117.5156,-113.3904,90.0000,top
"C3","4u7","SMD-0805",102.4356,-107.9242,-90.0000,top
"C4","10uF","SMD-0805",128.0185,-98.7092,-90.0000,top
"C5","1pFNP0 251R15S1R0AV4E","SMD-0805",104.0231,-102.7164,180.0000,top
"C6","10uF","SMD-0805",116.9136,-102.4242,90.0000,top
"C7","10uF","SMD-0805",137.2336,-103.7324,-90.0000,top
"C8","10uF","SMD-0805",130.3756,-111.8604,-90.0000,top
"C9","10uF","SMD-0805",137.3606,-95.7314,90.0000,top
"C10","100nF","SMD-0805",107.5156,-102.7164,180.0000,top
"C11","100nF","SMD-0805",114.9345,-102.4242,90.0000,top
"C12","100nF","SMD-0805",134.9476,-103.7324,-90.0000,top
"C13","100nF","SMD-0805",132.6616,-111.8604,-90.0000,top
"C14","100nF","SMD-0805",139.9006,-95.7314,90.0000,top
"C15","3n3","SMD-0805",117.4216,-106.2089,-90.0000,top
"C16","100nF","SMD-0805",119.9616,-106.3359,90.0000,top
"C17","4u7","SMD-0805",124.5336,-107.1614,-90.0000,top
"C18","2n2","SMD-0805",124.2796,-102.6529,-90.0000,top
"C19","1nF/NP0","SMD-0805",134.9476,-107.5424,-90.0000,top
"C20","100nF","SMD-0805",107.2616,-98.3984,90.0000,top
"C21","10uF","SMD-0805",121.5796,-113.3904,90.0000,top
"C23","10uF","SMD-0805",119.5476,-113.3904,90.0000,top
"C24","1uF","SMD-0805",115.2296,-113.4539,90.0000,top
"C26","100nF","SMD-0805",172.7225,-115.4097,180.0000,top
"C27","100nF","SMD-0805",172.7225,-113.3777,180.0000,top
"C28","100nF","SMD-0805",172.7225,-111.0917,180.0000,top
"C31","100nF","SMD-0805",168.9125,-108.8057,-90.0000,top
"C32","100nF","SMD-0805",157.9905,-94.1372,90.0000,top
"C34","100nF","SMD-0805",150.9166,-107.6119,-90.0000,top
"C35","100nF","SMD-0805",160.0225,-96.6772,90.0000,top
"C36","10uF","SMD-0805",165.8645,-116.9337,180.0000,top
"C39","100nF","SMD-0805",161.8386,-114.2794,0.0000,top
"C40","10uF","SMD-0805",171.1985,-104.9322,-90.0000,top
"C42","10uF","SMD-0805",151.6405,-95.4072,-90.0000,top
"C43","4u7","SMD-0805",148.0845,-109.8852,-90.0000,top
"C44","100nF","SMD-0805",168.9125,-105.4402,-90.0000,top
"C47","100nF","SMD-0805",171.7065,-96.8677,90.0000,top
"C50","10uF","SMD-0805",149.3545,-95.5342,-90.0000,top
"C54","100nF","SMD-0805",146.6240,-96.3597,0.0000,top
"C55","100nF","SMD-0805",173.7385,-118.7117,-90.0000,top
"D1","S11773-02","HAMAMATSU_S11773-02",108.5245,-114.2217,-90.0000,top
"D3","BZV55C-5,6V","D_MiniMELF",169.1665,-113.3777,90.0000,top
"F2","2R2","SMD-0805",165.9280,-119.2197,180.0000,top
"L1","10uH - LQH32CN100K23L","SMD-1210",172.4685,-108.5517,180.0000,top
"L3","DFE252012P-4R7M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.7045,-96.8767,90.0000,top
"M9","BMI-S-204-F","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",159.8785,-105.6057,0.0000,top
"R1","10R","SMD-0805",139.5196,-113.3844,-90.0000,top
"R2","470R","SMD-0805",112.5956,-103.6689,90.0000,top
"R3","470R","SMD-0805",132.9156,-99.5414,90.0000,top
"R4","470R","SMD-0805",128.0896,-111.8604,-90.0000,top
"R5","470R","SMD-0805",134.1856,-96.3664,180.0000,top
"R6","10M","SMD-0805",104.0231,-100.1764,180.0000,top
"R7","10k","SMD-0805",113.1370,-108.7217,180.0000,top
"R8","1k","SMD-0805",115.9345,-109.7649,-90.0000,top
"R9","4k7","SMD-0805",115.1845,-105.9242,-90.0000,top
"R10","1k","SMD-0805",121.9936,-106.3359,-90.0000,top
"R11","4k7","SMD-0805",121.9936,-102.6529,-90.0000,top
"R12","10k","SMD-0805",139.9006,-103.3514,-90.0000,top
"R13","2k2","SMD-0805",137.7416,-106.7804,0.0000,top
"R15","4k7","SMD-0805",124.1831,-116.9464,0.0000,top
"R19","4k7","SMD-0805",120.3731,-116.9464,0.0000,top
"R20","10k","SMD-0805",170.1190,-101.6937,0.0000,top
"R21","10k","SMD-0805",165.6105,-94.0102,90.0000,top
"R22","4k7","SMD-0805",116.5631,-116.9464,0.0000,top
"R23","10k","SMD-0805",148.3131,-106.7864,0.0000,top
"U1","OPA2314","SOIC-8_3.9x4.9mm_Pitch1.27mm",107.5156,-106.5264,0.0000,top
"U2","OPA2314","SOIC-8_3.9x4.9mm_Pitch1.27mm",129.8676,-104.4944,0.0000,top
"U3","ISL21080DIH312Z-TK  1V25","SOT-23",112.6116,-98.3984,0.0000,top
"U4","TS7211","SOT-23-5_HandSoldering",135.9636,-112.3684,-90.0000,top
"U5","TS5A4594","SOT-23-5_HandSoldering",138.6306,-99.5414,0.0000,top
"U8","TPS613222ADBV","SOT-23-5",154.7725,-93.0704,180.0000,top
"U10","ATMEGA1284P-AU","TQFP-44_10x10mm_P0.8mm",160.9536,-106.4384,0.0000,top
"U11","PCF85263A","TSSOP-10_3x3mm_Pitch0.5mm",168.4045,-97.6297,-90.0000,top
